token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur_no_funding,funding,pnl_eur,liquidated,liquidation_date,liq_price,worst_price,pnl_eur_clean,equity
SUI,LONG,2025-07-26 00:00:00+00:00,2025-08-25 00:00:00+00:00,4.2101,3.3721,4.2143101,3.3687279,10.0,-0.2006454627057462,0.009,-2.015454627057462,0.1093327978120072,-1.9061218292454547,False,,2.10715505,3.3149,-1.9061218292454547,-127.55284026953127
SYRUP,SHORT,2025-07-26 00:00:00+00:00,2025-08-25 00:00:00+00:00,0.54928,0.39857,0.54873072,0.3989685699999999,10.0,0.2729246687701394,0.009,2.720246687701394,0.0650475248967471,2.7852942125981413,False,,0.82309608,0.56999,2.7852942125981413,-124.76754605693313
HYPER,SHORT,2025-07-26 00:00:00+00:00,2025-08-25 00:00:00+00:00,0.50037,0.29598,0.4998696299999999,0.29627598,10.0,0.4072934977065919,0.009,4.063934977065919,-0.3246540246803552,3.739280952385564,False,,0.7498044449999999,0.52615,3.739280952385564,-121.02826510454756
KAITO,SHORT,2025-07-26 00:00:00+00:00,2025-08-25 00:00:00+00:00,1.3628,1.009,1.3614372,1.0100089999999995,10.0,0.2581303052391988,0.009,2.5723030523919883,0.0188866555280699,2.591189707920058,False,,2.0421557999999997,1.3628,2.591189707920058,-118.4370753966275
SYRUP,SHORT,2025-07-27 00:00:00+00:00,2025-08-26 00:00:00+00:00,0.56999,0.40962,0.56942001,0.4100296199999999,10.0,0.279917086159301,0.009,2.7901708615930105,0.0643299200948523,2.8545007816878627,False,,0.854130015,0.56999,2.8545007816878627,-115.58257461493965
OMNI,SHORT,2025-07-27 00:00:00+00:00,2025-08-26 00:00:00+00:00,2.7935,3.5053,2.7907065,3.5088052999999997,10.0,-0.2573179228987355,0.009,-2.582179228987355,-3.87597250758222,-6.458151736569574,True,2025-07-29 19:00:00+00:00,4.18605975,4.9867,-10.0,-125.58257461493965
KNEIRO,SHORT,2025-07-27 00:00:00+00:00,2025-08-26 00:00:00+00:00,0.46755,0.36143,0.46708245,0.3617914299999999,10.0,0.2254227706478805,0.009,2.2452277064788055,0.0755318106476918,2.3207595171264974,False,,0.700623675,0.46755,2.3207595171264974,-123.26181509781314
INJ,LONG,2025-07-27 00:00:00+00:00,2025-08-26 00:00:00+00:00,15.445,13.545,15.460444999999998,13.531455,10.0,-0.1247693711274157,0.009,-1.2566937112741574,0.0937090728160153,-1.1629846384581422,False,,7.730222499999999,12.123,-1.1629846384581422,-124.42479973627128
AVAX,LONG,2025-07-27 00:00:00+00:00,2025-08-26 00:00:00+00:00,25.427,24.229,25.452426999999997,24.204771,10.0,-0.0490191367605138,0.009,-0.4991913676051387,0.1280587021020431,-0.3711326655030955,False,,12.726213499999998,20.867,-0.3711326655030955,-124.79593240177438
DOT,LONG,2025-07-27 00:00:00+00:00,2025-08-26 00:00:00+00:00,4.1792,3.9073,4.183379199999999,3.9033927,10.0,-0.0669283100131106,0.009,-0.6782831001311066,0.0845251104802309,-0.5937579896508757,False,,2.0916895999999996,3.4795,-0.5937579896508757,-125.38969039142526
LAUNCHCOIN,SHORT,2025-07-28 00:00:00+00:00,2025-08-27 00:00:00+00:00,0.088221,0.051829,0.088132779,0.0518808289999999,10.0,0.4113333360338042,0.009,4.104333360338042,0.1330362750992227,4.237369635437265,False,,0.1321991685,0.088221,4.237369635437265,-121.152320755988
MOVE,SHORT,2025-07-28 00:00:00+00:00,2025-08-27 00:00:00+00:00,0.1443,0.12271,0.1441557,0.1228327099999999,10.0,0.1479163848533219,0.009,1.4701638485332191,-0.1415330043334395,1.3286308441997796,False,,0.21623355,0.14616,1.3286308441997796,-119.82368991178822
BABY,SHORT,2025-07-28 00:00:00+00:00,2025-08-27 00:00:00+00:00,0.056948,0.04897,0.056891052,0.0490189699999999,10.0,0.1383711800583333,0.009,1.374711800583333,0.0495398649873973,1.4242516655707302,False,,0.085336578,0.066421,1.4242516655707302,-118.39943824621749
LINK,LONG,2025-07-28 00:00:00+00:00,2025-08-27 00:00:00+00:00,18.233,24.187,18.251233,24.162813,10.0,0.3239003085435379,0.009,3.230003085435379,0.1858543041650939,3.415857389600473,False,,9.1256165,15.58,3.415857389600473,-114.98358085661701
BNB,LONG,2025-07-28 00:00:00+00:00,2025-08-27 00:00:00+00:00,832.39,860.56,833.2223899999999,859.69944,10.0,0.0317766904943589,0.009,0.3087669049435899,0.0804998837278004,0.3892667886713903,False,,416.6111949999999,737.05,0.3892667886713903,-114.59431406794562
MINA,LONG,2025-07-28 00:00:00+00:00,2025-08-27 00:00:00+00:00,0.20887,0.17969,0.2090788699999999,0.1795103099999999,10.0,-0.1414229950640158,0.009,-1.4232299506401578,0.0822647297144374,-1.3409652209257203,False,,0.1045394349999999,0.17314,-1.3409652209257203,-115.93527928887134
AVAX,LONG,2025-07-29 00:00:00+00:00,2025-08-28 00:00:00+00:00,24.104,24.207,24.128103999999997,24.182793,10.0,0.0022666099250899,0.009,0.0136660992508998,0.1165687014931633,0.1302348007440631,False,,12.064051999999998,20.867,0.1302348007440631,-115.80504448812728
BNB,LONG,2025-07-29 00:00:00+00:00,2025-08-28 00:00:00+00:00,804.19,869.38,804.99419,868.51062,10.0,0.0789029669891158,0.009,0.7800296698911581,0.0713934606491259,0.851423130540284,False,,402.497095,737.05,0.851423130540284,-114.953621357587
ATOM,LONG,2025-07-29 00:00:00+00:00,2025-08-28 00:00:00+00:00,4.553,4.6025,4.5575529999999995,4.5978975,10.0,0.008852228377816,0.009,0.0795222837781605,0.076077220387651,0.1555995041658115,False,,2.2787765,4.0576,0.1555995041658115,-114.79802185342119
ALT,SHORT,2025-07-29 00:00:00+00:00,2025-08-28 00:00:00+00:00,0.037325,0.033319,0.037287675,0.033352319,10.0,0.1055403963910327,0.009,1.0464039639103273,0.063907635194337,1.1103115991046644,False,,0.0559315125,0.038423,1.1103115991046644,-113.68771025431653
OMNI,SHORT,2025-07-29 00:00:00+00:00,2025-08-28 00:00:00+00:00,4.9867,3.3644,4.9817133,3.3677643999999995,10.0,0.3239746655031313,0.009,3.230746655031313,-2.164313917081198,1.066432737950115,False,,7.47256995,4.9867,1.066432737950115,-112.62127751636642
USUAL,SHORT,2025-07-29 00:00:00+00:00,2025-08-28 00:00:00+00:00,0.08219,0.06671,0.08210781,0.06677671,10.0,0.1867191440132187,0.009,1.8581914401321873,-0.0107064958491768,1.8474849442830104,False,,0.123161715,0.085,1.8474849442830104,-110.77379257208341
VINE,SHORT,2025-07-30 00:00:00+00:00,2025-08-29 00:00:00+00:00,0.11585,0.068115,0.11573415,0.0681831149999999,12.0,0.4108643386589006,0.0108,4.919572063906808,0.0744037533587208,4.993975817265529,False,,0.173601225,0.11585,4.993975817265529,-105.77981675481789
HYPER,SHORT,2025-07-30 00:00:00+00:00,2025-08-29 00:00:00+00:00,0.43873,0.30429,0.43829127,0.30459429,12.0,0.3050413940483004,0.0108,3.6496967285796047,-0.2541609918960603,3.395535736683544,False,,0.657436905,0.43873,3.395535736683544,-102.38428101813435
KNEIRO,SHORT,2025-07-30 00:00:00+00:00,2025-08-29 00:00:00+00:00,0.42293,0.34277,0.42250707,0.3431127699999999,12.0,0.1879123584843208,0.0108,2.2441483018118498,0.097066375973647,2.341214677785497,False,,0.633760605,0.44333,2.341214677785497,-100.04306634034884
TRX,LONG,2025-07-30 00:00:00+00:00,2025-08-29 00:00:00+00:00,0.32751,0.33675,0.32783751,0.33641325,12.0,0.0261585076094556,0.0108,0.303102091313468,0.1201464795796673,0.4232485708931354,False,,0.163918755,0.32094,0.4232485708931354,-99.61981776945571
TON,LONG,2025-07-30 00:00:00+00:00,2025-08-29 00:00:00+00:00,3.3655,3.0587,3.3688654999999996,3.0556413,12.0,-0.092976166605642,0.0108,-1.126513999267705,0.1236043651711355,-1.002909634096569,False,,1.6844327499999998,3.1511,-1.002909634096569,-100.62272740355228
