perp,time,fundingRate
AAVE,2025-07-12 08:00:00.014000+00:00,8.4224e-05
AAVE,2025-07-12 16:00:00.169000+00:00,1.25e-05
AAVE,2025-07-13 00:00:00.043000+00:00,6.23676e-05
AAVE,2025-07-13 08:00:00.019000+00:00,6.04293e-05
AAVE,2025-07-13 16:00:00.092000+00:00,9.89859e-05
AAVE,2025-07-14 00:00:00.036000+00:00,1.25e-05
AAVE,2025-07-14 08:00:00.042000+00:00,9.18962e-05
AAVE,2025-07-14 16:00:00+00:00,2.34326e-05
AAVE,2025-07-15 00:00:00.017000+00:00,1.41054e-05
AAVE,2025-07-15 08:00:00.039000+00:00,3.94325e-05
AAVE,2025-07-15 16:00:00.005000+00:00,4.79839e-05
AAVE,2025-07-16 00:00:00.004000+00:00,1.25e-05
AAVE,2025-07-16 08:00:00.125000+00:00,5.59718e-05
AAVE,2025-07-16 16:00:00.018000+00:00,1.52249e-05
AAVE,2025-07-17 00:00:00.022000+00:00,1.25e-05
AAVE,2025-07-17 08:00:00.042000+00:00,4.20779e-05
AAVE,2025-07-17 16:00:00.033000+00:00,7.18476e-05
AAVE,2025-07-18 00:00:00.073000+00:00,6.34998e-05
AAVE,2025-07-18 08:00:00.069000+00:00,6.13646e-05
AAVE,2025-07-18 16:00:00.021000+00:00,6.3433e-05
AAVE,2025-07-19 00:00:00.046000+00:00,1.25e-05
AAVE,2025-07-19 08:00:00.008000+00:00,1.25e-05
AAVE,2025-07-19 16:00:00.007000+00:00,1.25e-05
AAVE,2025-07-20 00:00:00.003000+00:00,1.25e-05
AAVE,2025-07-20 08:00:00.014000+00:00,1.58976e-05
AAVE,2025-07-20 16:00:00.025000+00:00,5.73842e-05
AAVE,2025-07-21 00:00:00.039000+00:00,4.74857e-05
AAVE,2025-07-21 08:00:00.018000+00:00,3.2973e-05
AAVE,2025-07-21 16:00:00.004000+00:00,3.0222e-05
AAVE,2025-07-22 00:00:00.092000+00:00,1.25e-05
AAVE,2025-07-22 08:00:00.016000+00:00,1.25e-05
AAVE,2025-07-22 16:00:00.039000+00:00,1.25e-05
AAVE,2025-07-23 00:00:00.095000+00:00,8.23844e-05
AAVE,2025-07-23 08:00:00.032000+00:00,3.18336e-05
AAVE,2025-07-23 16:00:00.025000+00:00,4.45926e-05
AAVE,2025-07-24 00:00:00.095000+00:00,4.94228e-05
AAVE,2025-07-24 08:00:00.038000+00:00,1.25e-05
AAVE,2025-07-24 16:00:00.052000+00:00,1.25e-05
AAVE,2025-07-25 00:00:00.065000+00:00,1.25e-05
AAVE,2025-07-25 08:00:00.008000+00:00,1.25e-05
AAVE,2025-07-25 16:00:00.001000+00:00,1.25e-05
AAVE,2025-07-26 00:00:00.011000+00:00,4.83876e-05
AAVE,2025-07-26 08:00:00.025000+00:00,6.19776e-05
AAVE,2025-07-26 16:00:00.079000+00:00,2.59593e-05
AAVE,2025-07-27 00:00:00.031000+00:00,3.59221e-05
AAVE,2025-07-27 08:00:00.018000+00:00,3.82964e-05
AAVE,2025-07-27 16:00:00.011000+00:00,2.17174e-05
AAVE,2025-07-28 00:00:00.002000+00:00,0.0001007108
AAVE,2025-07-28 08:00:00.015000+00:00,9.45561e-05
AAVE,2025-07-28 16:00:00.035000+00:00,0.0001144311
AAVE,2025-07-29 00:00:00.010000+00:00,1.25e-05
AAVE,2025-07-29 08:00:00.091000+00:00,1.25e-05
AAVE,2025-07-29 16:00:00.028000+00:00,1.25e-05
AAVE,2025-07-30 00:00:00.077000+00:00,1.25e-05
AAVE,2025-07-30 08:00:00.004000+00:00,1.25e-05
AAVE,2025-07-30 16:00:00.056000+00:00,1.25e-05
AAVE,2025-07-31 00:00:00.006000+00:00,1.25e-05
AAVE,2025-07-31 08:00:00+00:00,1.25e-05
AAVE,2025-07-31 16:00:00.007000+00:00,1.25e-05
AAVE,2025-08-01 00:00:00.147000+00:00,1.25e-05
AAVE,2025-08-01 08:00:00.011000+00:00,1.25e-05
AAVE,2025-08-01 16:00:00.066000+00:00,1.25e-05
AAVE,2025-08-02 00:00:00.114000+00:00,1.25e-05
AAVE,2025-08-02 08:00:00.023000+00:00,1.25e-05
AAVE,2025-08-02 16:00:00.020000+00:00,1.25e-05
AAVE,2025-08-03 00:00:00.042000+00:00,1.25e-05
AAVE,2025-08-03 08:00:00.003000+00:00,1.25e-05
AAVE,2025-08-03 16:00:00.038000+00:00,1.25e-05
AAVE,2025-08-04 00:00:00.043000+00:00,1.25e-05
AAVE,2025-08-04 08:00:00.003000+00:00,1.25e-05
AAVE,2025-08-04 16:00:00.044000+00:00,1.25e-05
AAVE,2025-08-05 00:00:00.043000+00:00,1.25e-05
AAVE,2025-08-05 08:00:00.035000+00:00,1.25e-05
AAVE,2025-08-05 16:00:00.057000+00:00,1.25e-05
AAVE,2025-08-06 00:00:00.012000+00:00,1.25e-05
AAVE,2025-08-06 08:00:00.003000+00:00,1.25e-05
AAVE,2025-08-06 16:00:00.020000+00:00,1.25e-05
AAVE,2025-08-07 00:00:00.047000+00:00,1.25e-05
AAVE,2025-08-07 08:00:00.038000+00:00,1.25e-05
AAVE,2025-08-07 16:00:00.189000+00:00,1.25e-05
AAVE,2025-08-08 00:00:00.085000+00:00,1.25e-05
AAVE,2025-08-08 08:00:00.026000+00:00,1.25e-05
AAVE,2025-08-08 16:00:00.048000+00:00,1.25e-05
AAVE,2025-08-09 00:00:00.074000+00:00,1.25e-05
AAVE,2025-08-09 08:00:00.007000+00:00,3.46172e-05
AAVE,2025-08-09 16:00:00.063000+00:00,1.25e-05
AAVE,2025-08-10 00:00:00.019000+00:00,2.50482e-05
AAVE,2025-08-10 08:00:00.041000+00:00,2.57017e-05
AAVE,2025-08-10 16:00:00.021000+00:00,5.72232e-05
AAVE,2025-08-11 00:00:00.066000+00:00,5.43834e-05
AAVE,2025-08-11 08:00:00.067000+00:00,1.25e-05
AAVE,2025-08-11 16:00:00.028000+00:00,1.25e-05
AAVE,2025-08-12 00:00:00.042000+00:00,1.25e-05
AAVE,2025-08-12 08:00:00+00:00,1.25e-05
AAVE,2025-08-12 16:00:00.075000+00:00,1.25e-05
AAVE,2025-08-13 00:00:00.076000+00:00,2.026e-05
