token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur
XAI,SHORT,2025-06-27,2025-07-27,0.04763,0.05805,0.047596659,0.058090634999999995,5.0,-0.2204771557600292,0.0045,-1.1068857788001458
SAGA,SHORT,2025-06-27,2025-07-27,0.20306,0.2993,0.20291785799999998,0.29950951,5.0,-0.4760135601273694,0.0045,-2.384567800636847
SOL,LONG,2025-06-28,2025-07-28,151.34,185.21,151.44593799999998,185.080353,5.0,0.22208859111163498,0.0045,1.105942955558175
SUI,LONG,2025-06-28,2025-07-28,2.7695,3.9963,2.7714386499999994,3.99350259,5.0,0.44094930263024246,0.0045,2.200246513151212
MKR,LONG,2025-06-28,2025-07-28,1899.9,2189.1,1901.22993,2187.56763,5.0,0.15060656024913308,0.0045,0.7485328012456655
STX,LONG,2025-06-28,2025-07-28,0.66362,0.79675,0.6640845339999999,0.7961922749999999,5.0,0.1989321151695426,0.0045,0.990160575847713
S,SHORT,2025-06-28,2025-07-28,0.30983,0.32218,0.309613119,0.322405526,5.0,-0.041317393272343884,0.0045,-0.21108696636171942
AIXBT,SHORT,2025-06-28,2025-07-28,0.13137,0.1404,0.13127804099999998,0.14049827999999998,5.0,-0.07023443471402802,0.0045,-0.3556721735701401
RUNE,LONG,2025-06-29,2025-07-29,1.3387,1.3992,1.3396370899999999,1.39822056,4.285714285714286,0.04373085101727072,0.0038571428571428567,0.18356079007401735
ATOM,LONG,2025-06-29,2025-07-29,4.029,4.586,4.0318203,4.5827898000000005,4.285714285714286,0.13665527206160474,0.0038571428571428567,0.5818083088354489
MNT,LONG,2025-06-29,2025-07-29,0.58347,0.76099,0.583878429,0.760457307,4.285714285714286,0.30242404793481426,0.0038571428571428567,1.2922459197206326
AVAX,LONG,2025-06-29,2025-07-29,18.034,24.236,18.0466238,24.2190348,4.285714285714286,0.3420258031865218,0.0038571428571428567,1.4619677279422363
AIXBT,SHORT,2025-06-29,2025-07-29,0.13433,0.13376,0.134235969,0.13385363199999997,4.285714285714286,0.0028482455399121685,0.0038571428571428567,0.008349623742480723
MOVE,SHORT,2025-06-29,2025-07-29,0.18078,0.14061,0.180653454,0.140708427,4.285714285714286,0.2211141061271931,0.0038571428571428567,0.9437747405451132
INIT,SHORT,2025-06-29,2025-07-29,0.42919,0.41302,0.428889567,0.413309114,4.285714285714286,0.0363274236512264,0.0038571428571428567,0.15183181564811313
SUSHI,LONG,2025-06-30,2025-07-30,0.59981,0.81679,0.6002298669999999,0.816218247,4.285714285714286,0.3598427733686903,0.0038571428571428567,1.5383261715801013
BNB,LONG,2025-06-30,2025-07-30,657.42,780.85,657.880194,780.303405,4.285714285714286,0.18608739420417944,0.0038571428571428567,0.7936602608750547
ETC,LONG,2025-06-30,2025-07-30,16.564,21.072,16.575594799999998,21.0572496,4.285714285714286,0.270376710704825,0.0038571428571428567,1.1549001887349644
ARB,LONG,2025-06-30,2025-07-30,0.33717,0.40951,0.337406019,0.40922334299999996,4.285714285714286,0.21285134216885432,0.0038571428571428567,0.9083628950093756
AIXBT,SHORT,2025-06-30,2025-07-30,0.13015,0.13037,0.13005889499999998,0.130461259,4.285714285714286,-0.0030937061244447465,0.0038571428571428567,-0.017115883390477486
MELANIA,SHORT,2025-06-30,2025-07-30,0.20031,0.21891,0.200169783,0.21906323699999997,4.285714285714286,-0.09438714333821292,0.0038571428571428567,-0.40837347144948394
S,SHORT,2025-06-30,2025-07-30,0.31407,0.29499,0.313850151,0.29519649299999995,4.285714285714286,0.05943491803513605,0.0038571428571428567,0.2508639344362974
BNB,LONG,2025-07-01,2025-07-31,644.59,801.2,645.041213,800.6391600000001,4.285714285714286,0.24122171399922643,0.0038571428571428567,1.0299502028538277
SOL,LONG,2025-07-01,2025-07-31,145.94,177.82,146.042158,177.695526,4.285714285714286,0.21674130561669733,0.0038571428571428567,0.9250341669287028
BTC,LONG,2025-07-01,2025-07-31,105713.0,117704.0,105786.99909999999,117621.6072,4.285714285714286,0.11187204666627143,0.0038571428571428567,0.47559448571259183
PAXG,LONG,2025-07-01,2025-07-31,3343.0,3302.8,3345.3401,3300.48804,4.285714285714286,-0.0134073244152365,0.0038571428571428567,-0.061317104636727855
CAKE,LONG,2025-07-01,2025-07-31,2.2371,2.825,2.2386659699999996,2.8230225,4.285714285714286,0.2610289064250173,0.0038571428571428567,1.1148381703929313
OM,SHORT,2025-07-01,2025-07-31,0.19419,0.24788,0.194054067,0.24805351599999997,4.285714285714286,-0.2782701225220906,0.0038571428571428567,-1.196443382237531
W,SHORT,2025-07-01,2025-07-31,0.07026,0.08174,0.070210818,0.08179721799999999,4.285714285714286,-0.16502300258059943,0.0038571428571428567,-0.7110985824882833
SOPH,LONG,2025-07-02,2025-08-01,0.03342,0.039678,0.033443393999999994,0.039650225399999996,5.0,0.18559215012686817,0.0045,0.9234607506343409
ONDO,LONG,2025-07-02,2025-08-01,0.79207,0.90059,0.792624449,0.899959587,5.0,0.13541739487776014,0.0045,0.6725869743888008
