signal_date,symbol,side,prediction,reason
2025-07-11,SUI,1,0.8915675734123616,no_price_inside_entry_window
2025-07-11,GALA,1,0.8706063488937777,no_price_inside_entry_window
2025-07-11,ALGO,1,0.8679206658708187,no_price_inside_entry_window
2025-07-11,ZEREBRO,-1,0.0528285929387865,no_price_inside_entry_window
2025-07-11,MOVE,-1,0.0536824255950089,no_price_inside_entry_window
2025-07-11,GMX,-1,0.1024285056406006,no_price_inside_entry_window
2025-07-12,ALGO,1,0.8973141834312242,no_price_inside_entry_window
2025-07-12,DOT,1,0.8318737253446875,no_price_inside_entry_window
2025-07-12,AVAX,1,0.8196201729228992,no_price_inside_entry_window
2025-07-12,MOVE,-1,0.0895342776879107,no_price_inside_entry_window
2025-07-12,ANIME,-1,0.1253750573592339,no_price_inside_entry_window
2025-07-12,SYRUP,-1,0.1970436301765828,no_price_inside_entry_window
2025-07-13,HYPE,1,0.8871550154406604,no_price_inside_entry_window
2025-07-13,ALGO,1,0.8510907951079002,no_price_inside_entry_window
2025-07-13,SAND,1,0.8308867946891997,no_price_inside_entry_window
2025-07-13,IP,-1,0.1485946132136182,no_price_inside_entry_window
2025-07-13,W,-1,0.150082056926696,no_price_inside_entry_window
2025-07-13,ALT,-1,0.1582183921257113,no_price_inside_entry_window
2025-07-14,HYPE,1,0.8942321274481525,no_price_inside_entry_window
2025-07-14,RENDER,1,0.8875033677494759,no_price_inside_entry_window
2025-07-14,BTC,1,0.8337208936018183,no_price_inside_entry_window
2025-07-14,MOVE,-1,0.1229980880923672,no_price_inside_entry_window
2025-07-14,INIT,-1,0.1676272861325054,no_price_inside_entry_window
2025-07-15,BTC,1,0.9085639935599172,no_price_inside_entry_window
2025-07-15,RENDER,1,0.8552707088218782,no_price_inside_entry_window
2025-07-15,MNT,1,0.849399470203028,no_price_inside_entry_window
2025-07-15,JTO,-1,0.1643254130718544,no_price_inside_entry_window
2025-07-15,ARK,-1,0.1693197106064393,no_price_inside_entry_window
2025-07-15,MOVE,-1,0.1695002371377364,no_price_inside_entry_window
2025-07-16,ETH,1,0.8814992524008405,no_price_inside_entry_window
2025-07-16,RENDER,1,0.8586077674198364,no_price_inside_entry_window
2025-07-16,AVAX,1,0.8541582067806985,no_price_inside_entry_window
2025-07-16,SYRUP,-1,0.1179156450994916,no_price_inside_entry_window
2025-07-16,MELANIA,-1,0.1375577695728285,no_price_inside_entry_window
2025-07-16,JTO,-1,0.1387659795024164,no_price_inside_entry_window
2025-07-17,RENDER,1,0.869769413651053,no_price_inside_entry_window
2025-07-17,SOL,1,0.8313289562132625,no_price_inside_entry_window
2025-07-17,ETH,1,0.8300815854284829,no_price_inside_entry_window
2025-07-17,MOVE,-1,0.0909904720609259,no_price_inside_entry_window
2025-07-17,JTO,-1,0.1074000517392359,no_price_inside_entry_window
2025-07-17,SYRUP,-1,0.1216561887663502,no_price_inside_entry_window
2025-07-18,ADA,1,0.9035667397024142,no_price_inside_entry_window
2025-07-18,RUNE,1,0.8446862027806702,no_price_inside_entry_window
2025-07-18,DYDX,1,0.8247589193546341,no_price_inside_entry_window
2025-07-18,ZEREBRO,-1,0.1372322531875386,no_price_inside_entry_window
2025-07-18,JTO,-1,0.1480234303279341,no_price_inside_entry_window
2025-07-19,ADA,1,0.9039520661278846,no_price_inside_entry_window
2025-07-19,RUNE,1,0.8525810125241756,no_price_inside_entry_window
2025-07-19,DYDX,1,0.8288241272063562,no_price_inside_entry_window
2025-07-19,ZEREBRO,-1,0.1352414091682608,no_price_inside_entry_window
2025-07-19,JTO,-1,0.1603324500198477,no_price_inside_entry_window
2025-07-20,DOT,1,0.8474860256700293,no_price_inside_entry_window
2025-07-20,ATOM,1,0.8024804670267848,no_price_inside_entry_window
2025-07-20,MNT,1,0.7838585706666361,no_price_inside_entry_window
2025-07-20,SYRUP,-1,0.0728943575411528,no_price_inside_entry_window
2025-07-20,MOVE,-1,0.1045473757966374,no_price_inside_entry_window
2025-07-20,JTO,-1,0.1090534631344569,no_price_inside_entry_window
2025-07-21,GMT,1,0.8519435176930715,no_price_inside_entry_window
2025-07-21,SAND,1,0.786424306120475,no_price_inside_entry_window
2025-07-21,BNB,1,0.7831552056681397,no_price_inside_entry_window
2025-07-21,SYRUP,-1,0.0896370152365538,no_price_inside_entry_window
2025-07-21,GRIFFAIN,-1,0.1195750314825884,no_price_inside_entry_window
2025-07-22,STX,1,0.8536665279986961,no_price_inside_entry_window
2025-07-22,kBONK,1,0.8211810337411198,no_price_inside_entry_window
2025-07-22,ATOM,1,0.814048888297999,no_price_inside_entry_window
2025-07-22,SYRUP,-1,0.1707710620142284,no_price_inside_entry_window
2025-07-22,GRIFFAIN,-1,0.2034755627428012,no_price_inside_entry_window
2025-07-23,SOL,1,0.9000721682035563,no_price_inside_entry_window
2025-07-23,STX,1,0.8477966106725686,no_price_inside_entry_window
2025-07-23,DOT,1,0.8459358641237495,no_price_inside_entry_window
2025-07-23,SEI,-1,0.1433304900857114,no_price_inside_entry_window
2025-07-23,SYRUP,-1,0.1536956796098981,no_price_inside_entry_window
2025-07-23,MOVE,-1,0.1570685261862942,no_price_inside_entry_window
2025-07-24,PENDLE,1,0.8332963503155638,no_price_inside_entry_window
2025-07-24,BIGTIME,1,0.8226010578418342,no_price_inside_entry_window
2025-07-24,AVAX,1,0.8131084454890403,no_price_inside_entry_window
2025-07-24,SYRUP,-1,0.1620274585401079,no_price_inside_entry_window
2025-07-24,ALT,-1,0.1625845617869599,no_price_inside_entry_window
2025-07-24,HYPER,-1,0.1917668904119662,no_price_inside_entry_window
2025-07-25,BNB,1,0.9131891748158028,no_price_inside_entry_window
2025-07-25,TRX,1,0.8586430740402756,no_price_inside_entry_window
2025-07-25,LAYER,1,0.8538719665886614,no_price_inside_entry_window
2025-07-25,kNEIRO,-1,0.1011751457081335,no_price_inside_entry_window
2025-07-25,SYRUP,-1,0.1817868397632732,no_price_inside_entry_window
2025-07-26,STX,1,0.877961457047907,no_price_inside_entry_window
2025-07-26,CAKE,1,0.86296051909382,no_price_inside_entry_window
2025-07-26,SUI,1,0.8593435126325284,no_price_inside_entry_window
2025-07-26,KAITO,-1,0.1247440724710177,no_price_inside_entry_window
2025-07-26,SYRUP,-1,0.1476208708265898,no_price_inside_entry_window
2025-07-26,MELANIA,-1,0.1556742264111502,no_price_inside_entry_window
2025-07-27,BTC,1,0.900061307437042,no_price_inside_entry_window
2025-07-27,INJ,1,0.8772009044997671,no_price_inside_entry_window
2025-07-27,HBAR,1,0.8509211812084887,no_price_inside_entry_window
2025-07-27,SYRUP,-1,0.0817795760533757,no_price_inside_entry_window
2025-07-27,KAITO,-1,0.1259173956679144,no_price_inside_entry_window
2025-07-28,BNB,1,0.9086353937004767,no_price_inside_entry_window
2025-07-28,MINA,1,0.8765081032444948,no_price_inside_entry_window
2025-07-28,CAKE,1,0.8713832671738132,no_price_inside_entry_window
2025-07-28,MOVE,-1,0.0663183469852758,no_price_inside_entry_window
2025-07-28,S,-1,0.1270333923905757,no_price_inside_entry_window
2025-07-29,AVAX,1,0.8655681086493967,no_price_inside_entry_window
2025-07-29,ATOM,1,0.8243618068916378,no_price_inside_entry_window
