time,cash_collateral,account_equity,portfolio_margin_value,posted_initial_margin_open,maintenance_margin_required,margin_ratio,unrealized_pnl_total,unrealized_pnl_long,unrealized_pnl_short,realized_pnl_total,realized_pnl_long,realized_pnl_short,funding_pnl_total,fees_total,n_open_positions,long_exposure,short_exposure,gross_exposure,net_exposure,gross_leverage_on_equity
2026-01-13 02:00:00+00:00,309.8154500873228,2162.3121762542974,1852.4967261669744,1798.05109076314,133.52725382704426,0.06175207044264495,54.44563540383436,21.06649246701433,33.37914293682003,212.1374248857516,-163.17009504792733,375.3075199336789,-100.28268796194833,3.9881960733352133,48,937.4446773588797,889.2252459751343,1826.6699233340141,48.21943138374547,0.8447762276852617
2026-01-13 03:00:00+00:00,309.8154500873228,2159.1623982480123,1849.3469481606899,1797.9788919438686,134.22598501862385,0.06216576628397081,51.368056216821294,23.590766836120434,27.77728938070086,212.1374248857516,-163.17009504792733,375.3075199336789,-100.3548867812204,3.9881960733352133,48,939.9689517279861,894.8270995312531,1834.7960512592392,45.141852196733,0.8497721397649521
2026-01-13 04:00:00+00:00,309.8154500873228,2156.8015810833385,1846.986130996016,1797.910958520953,134.6656588744319,0.062437666985940714,49.07517247506303,24.941649229715647,24.133523245347384,212.1374248857516,-163.17009504792733,375.3075199336789,-100.42282020413568,3.9881960733352133,48,941.3198341215813,898.4708656666068,1839.790699788188,42.84896845497451,0.853018059669671
2026-01-13 05:00:00+00:00,309.8154500873228,2156.403736567924,1846.5882864806013,1797.841336063803,134.84991779958352,0.06253463371112829,48.74695041679818,26.271642255259334,22.475308161538845,212.1374248857516,-163.17009504792733,375.3075199336789,-100.49244266128564,3.9881960733352133,48,942.6498271471248,900.1290807504155,1842.7789078975402,42.52074639670934,0.8545611736095667
2026-01-13 06:00:00+00:00,309.8154500873228,2155.57153561994,1845.756085532617,1797.7607851901662,135.24604671377583,0.06274254622446535,47.99530034245062,28.472605432169708,19.52269491028091,212.1374248857516,-163.17009504792733,375.3075199336789,-100.57299353492283,3.9881960733352133,48,944.8507903240351,903.0816940016734,1847.9324843257086,41.769096322361634,0.8572819105232086
2026-01-13 07:00:00+00:00,309.8154500873228,2155.238905848715,1845.4234557613925,1797.6882463479856,134.98345277555075,0.06263038979541592,47.73520941340681,26.544596065368555,21.19061334803825,212.1374248857516,-163.17009504792733,375.3075199336789,-100.64553237710322,3.9881960733352133,48,942.9227809572341,901.413775563916,1844.3365565211502,41.509005393318034,0.8557457604890748
2026-01-13 08:00:00+00:00,309.8154500873228,2155.415789145404,1845.6003390580813,1797.6395606587616,135.34834436029948,0.06279454063661817,47.96077839931975,29.13715515883926,18.823623240480487,212.1374248857516,-163.17009504792733,375.3075199336789,-100.6942180663273,3.9881960733352133,48,945.5153400507047,903.7807656714739,1849.2961057221787,41.73457437923082,0.8579765050600293
2026-01-13 09:00:00+00:00,309.8154500873228,2154.3223109280775,1844.5068608407544,1797.5977023906069,135.4452454417287,0.06287139336331674,46.9091584501476,29.17882542986031,17.730333020287286,212.1374248857516,-163.17009504792733,375.3075199336789,-100.73607633448161,3.9881960733352133,48,945.5570103217257,904.874055891667,1850.4310662133926,40.68295443005866,0.8589388211907023
2026-01-13 10:00:00+00:00,309.8154500873228,2151.7987077408757,1841.983257653552,1797.5485646752318,135.49559000451993,0.06296852466594036,44.434692978320285,27.874144248989367,16.560548729330915,212.1374248857516,-163.17009504792733,375.3075199336789,-100.78521404985659,3.9881960733352133,48,944.252329140855,906.0438401826234,1850.2961693234784,38.208488958231555,0.8598834838348156
2026-01-13 11:00:00+00:00,309.8154500873228,2147.3671936558876,1837.5517435685651,1797.4988385582963,135.8056650252247,0.06324287035139801,40.052905010268844,27.010464497949293,13.042440512319555,212.1374248857516,-163.17009504792733,375.3075199336789,-100.83494016679282,3.9881960733352133,48,943.3886493898146,909.5619483996347,1852.9505977894494,33.826700990179916,0.8628941539498912
2026-01-13 12:00:00+00:00,309.8154500873228,2147.131246650819,1837.3157965634964,1797.471343673181,136.0837504770988,0.06337933495652288,39.844452890315296,28.67362128218944,11.170831608125855,212.1374248857516,-163.17009504792733,375.3075199336789,-100.86243505190775,3.9881960733352133,48,945.051806174055,911.4335573038283,1856.4853634778833,33.618248870226694,0.8646352505808406
